Instrumento,Codigo,Precio,Stock,Nombre,Material,Tipo,Cuerda/Alto,Sonido
Percusion,$x^CH#L=v@R4,75000,23,Cajon,Madera,Idiofono,Indefinida,null
Percusion,@5tQ=89aLn5M,25000,3,Campanas,Metal,Idiofono,Definida,null
Cuerda,nMs4L9oWacy=,80000,43,Violin,Madera,Nylon,4,Acustico
Cuerda,MGWGurtqx=$Y,55000,12,Arpa,Metal,Tripa,11,Acustico
Percusion,u^HZEM^^ST8w,72000,21,Tubulares,Metal,Idiofono,Definida,null
Percusion,@@^ai=WCgc&=,40000,2,Bongo,Piel,Membranofono,Indefinida,null
Percusion,@dP=jZDV@LJU,100000,3,Bombo,Piel,Membranofono,Indefinida,null
Cuerda,#WP=^kp@=43=,170000,10,Bajo,Metal,Acero,4,Electrico
Cuerda,dkGLP7%7rP=q,120000,9,Guitarra,Madera,Nylon,6,Electrico
Viento,gcL&AuyBQavm,250000,2,Saxofon,Metal,null,null,null
Viento,poZAJPB2M^oC,575000,9,Trompeta,Metal,null,null,null
Viento,hwEJaPpKrfyJ,150000,1,Flauta Traversa,Metal,null,null,null
Viento,i8LSr^p=uSz6,900000,3,Clarinete,Madera,null,null,null
